id;weight;product_id;dish_id
580;2.5;1328;73
581;5.0;1175;73
582;2.5;1266;73
583;50.0;52544;73
584;150.0;52547;73
585;200.0;1369;73
586;55.0;52547;73
587;2.5;1328;73
588;5.0;1175;73
589;2.5;1266;73
590;50.0;52544;73
592;100.0;1369;75
593;80.0;1175;75
594;70.0;3149;75
595;55.0;52547;75
596;-1;805;75
597;100.0;1369;75
598;80.0;1175;75
599;70.0;3149;75
600;55.0;52547;75
601;-1;805;75
602;350.0;915;76
603;250.0;1304;76
604;55.0;52547;76
605;30.0;52544;76
606;2.0;1266;76
607;300.0;1802;76
608;200.0;133;76
609;2.0;1266;76
610;2.0;783;76
611;350.0;915;76
612;250.0;1304;76
613;55.0;52547;76
614;30.0;52544;76
615;2.0;1266;76
616;300.0;1802;76
617;200.0;133;76
618;2.0;1266;76
619;2.0;783;76
643;200.0;1088;79
644;150.0;3149;79
645;250.0;1369;79
646;125.0;1175;79
647;1.25;1328;79
648;200.0;1088;79
649;150.0;3149;79
650;250.0;1369;79
651;125.0;1175;79
652;1.25;1328;79
653;450.0;1369;80
654;250.0;52537;80
655;55.0;52547;80
656;45.0;1175;80
657;1.25;1266;80
658;90.0;3144;80
659;10.0;4685;80
660;125.0;1175;80
661;50.0;3149;80
662;450.0;1369;80
663;250.0;52537;80
664;55.0;52547;80
665;45.0;1175;80
666;1.25;1266;80
667;90.0;3144;80
668;10.0;4685;80
669;125.0;1175;80
670;50.0;3149;80
687;110.0;52547;84
688;40.0;1175;84
689;2.5;1266;84
690;150.0;52537;84
691;55.0;3149;84
692;5.0;1433;84
693;15.0;1219;84
694;350.0;915;84
695;40.0;1175;84
696;45.0;3149;84
697;20.0;915;84
698;55.0;52547;84
699;110.0;52547;84
700;40.0;1175;84
701;2.5;1266;84
702;150.0;52537;84
703;55.0;3149;84
704;5.0;1433;84
705;15.0;1219;84
706;350.0;915;84
707;40.0;1175;84
708;45.0;3149;84
709;20.0;915;84
710;55.0;52547;84
717;320.0;1369;87
718;250.0;1175;87
719;250.0;52547;87
720;200.0;3149;87
721;165.0;52547;87
722;15.0;762;87
723;15.0;1304;87
724;5.0;1328;87
725;320.0;1369;87
726;250.0;1175;87
727;250.0;52547;87
728;200.0;3149;87
729;165.0;52547;87
730;15.0;762;87
731;15.0;1304;87
732;5.0;1328;87
733;200.0;1304;88
734;5.0;1433;88
735;30.0;3149;88
736;45.0;52544;88
737;2.5;1266;88
738;10.0;1175;88
739;330.0;915;88
740;360.0;1088;88
741;55.0;52547;88
742;10.0;6369;88
743;1.5;1266;88
744;20.0;981;88
745;15.0;52544;88
746;15.0;1304;88
747;200.0;1304;88
748;5.0;1433;88
749;30.0;3149;88
750;45.0;52544;88
751;2.5;1266;88
752;10.0;1175;88
753;330.0;915;88
754;360.0;1088;88
755;55.0;52547;88
756;10.0;6369;88
757;1.5;1266;88
758;20.0;981;88
