id;name;image_id
921;Маринад для утки перед запеканием в духовке;5368
924;Квашеная капуста классическая в банке;5371
926;Капуста маринованная в банке;5373
927;Болгарский перец с морковью на зиму;5374
930;Имбирь с лимоном и медом для иммунитета и для похудения;5377
932;Перец горький маринованный на зиму без стерилизации;5379
934;Топленое масло из сливочного в домашних условиях;5381
936;Домашний майонез с горчицей классический блендером;5383
942;Как быстро сварить свеклу в микроволновке в пакете;5389
946;Как засолить капусту на зиму в банку;5393
947;Айсинг для пряников в домашних условиях;5394
950;Перец болгарский на зиму без стерилизации;5397
951;Начинка из капусты для пирожков;5398
957;Хрустящая маринованная капуста в банке на зиму;5404
960;Маринад для грибов на литр воды на зиму;5407
962;Клюква на зиму с сахаром без варки;5409
965;Варенье из фейхоа без варки протертое с сахаром на зиму;5412
966;Вегетарианский постный майонез блендером без яиц;5413
970;Капуста с морковью на зиму;5417
974;Тесто для пирожков с сухими дрожжами на молоке;5421
975;Яблочный уксус домашний;5422
