id;name;calories_number;glycemic_index;protein_number;fat_number;carbohydrate_number
1337;Тоник;34;4;0;0;8.3
793;Сок апельсиновый;36;4;0.9;0.2;8.1
919;Сок грейпфрута;36;4;1;0;8
1310;Сидр;45;3;0;0;6
1252;Паста Мисо;199;3;0.3;0.3;6.1
1284;Лимонная цедра;47;3;1.5;0.3;5.4
1312;Лимонад;26;3;0;0;6.4
1334;Сок дыни;15;3;0.1;0;7
1353;Маралий корень;304;3;12.3;2.1;6
1069;Кора берёзы;0;3;0;0;0
1364;Крапива;33;2;2.6;0.3;5.2
1226;Барбарис;29;2;0;0;7.9
1228;Душица;25;2;1.5;0;5
1239;Зелень кинзы;25;2;1.5;0;5
1249;Орегано свежий;25;2;1.5;0;5
1254;Перец розовый молотый;21;2;0.7;0.3;4.6
1280;Уксусная эссенция;11;2;0;0;3
1309;Отвар;18;2;0;0;4.4
1323;Кофе молотый;200;2;14;14;4
1330;Березовый сок;24;2;0;0;5.8
1350;Свекольные листья;12;2;1.5;0.2;5
1365;Коренья;32;2;1.3;0.3;6.5
844;Водоросли;25;2;1.5;0;5
1707;Изомальт;210;2;0;0;98
1333;Лимонный сок;16;1;0.9;0;3
1320;Кокосовое молоко;230;1;2.2;23.8;3.3
1336;Сок лайма;10;1;0;0;2.2
1360;Лимонник;111;1;1;0;1.9
797;Сок томатный;21;1;1.1;0.2;3.8
924;Квас;25;1;1;0;1
1714;Эритритол;20;1;0;0;99
454;Сердце свиное ;118;0;16.9;4.8;2.2
3500;Синий чай Анчан;35;0;0;0;9
458;Вымя коровье ;173;0;12.3;13.7;0
459;Говяжий ливер ;735;0;14.8;4.2;0
460;Язык телячий ;160;0;13.6;12.1;0
461;Язык говяжий ;146;0;12.2;10.9;0
463;Ветчина ;270;0;14;24;0
464;Колбаса с жиром ;436;0;21.1;39.1;0
465;Колбаса «любительская» ;291;0;12.2;28;0
466;Колбаса «украинская» ;404;0;16.5;34.4;0
467;Колбаса «диабетическая» ;254;0;12.1;22.8;0
469;Колбаса «докторская» ;197;0;13.7;22.8;0
470;Колбаса диетическая ;170;0;12;14;0
471;Колбаса «молочная» ;252;0;11.7;22.8;0
472;Колбаса телячья ;316;0;12;30;0
474;Сардельки говяжьи ;215;0;11.4;18.2;1.5
476;Сосиски «русские» ;243;0;11.3;22;0
477;Сосиски свиные ;324;0;11.8;30.8;0
480;Мясо вяленое ;264;0;21;17;0
481;Сервелат ;425;0;16.1;40.1;0
482;Копченая колбаса ;507;0;24;19;0
483;Печеночный паштет ;314;0;6;30;0
485;Сало ;797;0;2.4;89;0
486;Шпик ;658;0;1.4;92.8;0
488;Мозговая колбаса ;342;0;19;23;0
489;Колбаса из телячьей печени ;265;0;18;24.1;0
491;Ветчина из говядины ;133;0;17.6;6.2;0
